Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
480,-20,425,0,0
460,-20,407,0,0
440,-20,389,0,0
420,-20,371,0,0
400,-20,353,0,0
380,-20,335,0,0
360,-20,317,0,0
340,-20,299,0,0
320,-20,281,0,0
300,-20,263,0,0
280,-20,245,0,0
260,-20,227,0,0
250,-20,209,0,1
240,-20,191,0,1
230,-20,173,0,1
220,-20,155,0,1
210,-20,137,0,1
200,-20,119,0,1
190,-20,101,0,1
180,-20,83,0,1
170,-20,45,1,1
160,-20,10,1,1
150,-20,23,1,1
140,-20,53,1,1
115,-20,81,1,1
90,-20,106,1,1
65,-20,129,1,1
40,-20,149,1,1
15,-20,167,1,1
1370,-20,182,0,1
1343,-22,195,0,1
1316,-22,533,0,0
1289,-22,525,0,0
1262,-22,520,0,0
1235,-22,517,0,0
1208,-22,517,0,0
1176,-22,515,0,0
1144,-22,497,0,0
1112,-22,479,0,0
1080,-22,461,0,0
1048,-22,443,0,0
1016,-22,425,0,0
994,-22,407,0,0
972,-22,389,0,0
950,-22,371,0,0
928,-22,353,0,0
906,-22,335,0,0
884,-22,317,0,0
862,-22,299,0,0
840,-22,281,0,0
818,-22,263,0,0
796,-22,245,0,0
774,-22,227,0,0
752,-22,209,0,0
730,-22,191,0,0
718,-22,173,0,1
706,-22,155,0,1
694,-22,137,0,1
682,-22,119,0,1
670,-22,101,0,1
658,-22,83,0,1
646,-22,65,0,1
634,-22,47,0,1
622,-22,29,0,1
610,-22,11,0,1
598,-22,7,0,1
586,-22,25,0,1
554,-22,43,0,1
522,-22,61,0,1
490,-22,79,0,1
458,-22,97,0,1
426,-22,115,0,1
394,-22,605,0,0
362,-22,587,0,0
330,-22,569,0,0
298,-22,551,0,0
266,-22,533,0,0
234,-22,515,0,0
207,-22,477,1,0
180,-22,442,1,0
158,-22,409,1,0
136,-22,379,1,0
114,-22,351,1,0
92,-22,326,1,0
70,-22,303,1,0
48,-22,283,1,0
26,-22,265,1,0
4,-22,250,1,0
18,-22,237,1,0
40,-22,227,1,0
62,-22,219,1,0
84,-22,214,1,0
1280,-22,211,0,0
1258,-22,211,0,0
1236,-22,209,0,0
1214,-22,191,0,0
1202,-22,173,0,1
1190,-22,155,0,1
1178,-22,137,0,1
1166,-22,119,0,1
1154,-22,101,0,1
1142,-22,83,0,1
1130,-22,65,0,1
1118,-22,47,0,1
1106,-22,29,0,1
1094,-22,11,0,1
1082,-22,7,0,1
1070,-22,25,0,1
1038,-22,43,0,1
1006,-22,61,0,1
974,-22,79,0,1
942,-22,97,0,1
910,-22,115,0,1
878,-22,605,0,0
846,-22,587,0,0
814,-22,569,0,0
782,-22,551,0,0
750,-22,533,0,0
718,-22,515,0,0
686,-22,497,0,0
664,-22,479,0,0
642,-22,461,0,0
620,-22,443,0,0
598,-22,425,0,0
576,-22,407,0,0
554,-22,389,0,0
532,-22,371,0,0
510,-22,353,0,0
488,-22,335,0,0
466,-22,317,0,0
444,-22,299,0,0
422,-22,281,0,0
400,-22,263,0,0
378,-22,245,0,0
356,-22,227,0,0
334,-22,209,0,0
322,-22,191,0,1
310,-22,173,0,1
298,-22,155,0,1
286,-22,137,0,1
274,-22,119,0,1
262,-22,101,0,1
250,-22,83,0,1
238,-22,65,0,1
226,-22,27,1,1
214,-22,8,1,1
202,-22,41,1,1
190,-22,71,1,1
163,-22,99,1,1
136,-22,124,1,1
109,-22,147,1,1
82,-22,167,1,1
55,-22,185,1,1
28,-22,200,1,1
1,-22,525,1,0
1360,-22,515,0,0
1330,-25,507,0,0
1300,-25,502,0,0
1270,-25,499,0,0
1240,-25,499,0,0
1205,-25,497,0,0
